Date,TLT,GLD,SPY,VIX
1990-01-02,,,,17.2399997711
1990-01-03,,,,18.1900005341
1990-01-04,,,,19.2199993134
1990-01-05,,,,20.1100006104
1990-01-08,,,,20.2600002289
1990-01-09,,,,22.2000007629
1990-01-10,,,,22.4400005341
1990-01-11,,,,20.0499992371
1990-01-12,,,,24.6399993896
1990-01-15,,,,26.3400001526
1990-01-16,,,,24.1800003052
1990-01-17,,,,24.1599998474
1990-01-18,,,,24.3400001526
1990-01-19,,,,22.5000000000
1990-01-22,,,,26.7000007629
1990-01-23,,,,24.7199993134
1990-01-24,,,,25.3899993896
1990-01-25,,,,25.6299991608
1990-01-26,,,,26.2800006866
1990-01-29,,,,26.4400005341
1990-01-30,,,,27.2500000000
1990-01-31,,,,25.3600006104
1990-02-01,,,,24.8700008392
1990-02-02,,,,24.3199996948
1990-02-05,,,,24.5400009155
1990-02-06,,,,24.6900005341
1990-02-07,,,,24.2900009155
1990-02-08,,,,23.7700004578
1990-02-09,,,,23.6900005341
1990-02-12,,,,24.3799991608
1990-02-13,,,,23.7600002289
1990-02-14,,,,22.0499992371
1990-02-15,,,,19.7099990845
1990-02-16,,,,20.7800006866
1990-02-20,,,,22.7800006866
1990-02-21,,,,23.8899993896
1990-02-22,,,,22.5400009155
1990-02-23,,,,23.6900005341
1990-02-26,,,,23.5599994659
1990-02-27,,,,22.6900005341
1990-02-28,,,,21.9899997711
1990-03-01,,,,21.8999996185
1990-03-02,,,,21.3400001526
1990-03-05,,,,22.0300006866
1990-03-06,,,,20.5499992371
1990-03-07,,,,19.1000003815
1990-03-08,,,,19.7399997711
1990-03-09,,,,20.2999992371
1990-03-12,,,,20.0699996948
1990-03-13,,,,21.0499992371
1990-03-14,,,,19.6499996185
1990-03-15,,,,18.8099994659
1990-03-16,,,,17.6200008392
1990-03-19,,,,18.2900009155
1990-03-20,,,,19.0599994659
1990-03-21,,,,20.1000003815
1990-03-22,,,,22.7399997711
1990-03-23,,,,20.4599990845
1990-03-26,,,,19.5900001526
1990-03-27,,,,21.0100002289
1990-03-28,,,,19.7700004578
1990-03-29,,,,18.4599990845
1990-03-30,,,,19.7299995422
1990-04-02,,,,22.8400001526
1990-04-03,,,,20.4400005341
1990-04-04,,,,22.0300006866
1990-04-05,,,,21.2099990845
1990-04-06,,,,21.7600002289
1990-04-09,,,,22.2999992371
1990-04-10,,,,21.6900005341
1990-04-11,,,,17.7299995422
1990-04-12,,,,19.7999992371
1990-04-16,,,,20.7500000000
1990-04-17,,,,20.3799991608
1990-04-18,,,,22.6700000763
1990-04-19,,,,22.4599990845
1990-04-20,,,,23.3299999237
1990-04-23,,,,24.1599998474
1990-04-24,,,,21.7000007629
